Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,EvacMate Pty Ltd,Chermside West,4032,,,"Preparing EvacMate for deployment throughout Australia, New Zealand and Asia",Chermside West,4032,,5/09/2017,Brisbane (C),Brisbane and Redlands,Aspley,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,FC Strategic Advisers Pty Ltd,Holland Park,4121,,,PlexiSun Commercial Performance Testing,Holland Park,4121,,5/09/2017,Brisbane (C),Brisbane and Redlands,Greenslopes,99871
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Fetched Trading Pty Ltd,Balmoral,4171,,,Fetched Global Readiness Project,Balmoral,4171,,5/09/2017,Brisbane (C),Brisbane and Redlands,Bulimba,68948
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Farmer Meets Foodie,Mount Molloy,4871,,,Farmer Meets Foodie Accelerate,Mount Molloy,4871,,5/09/2017,Mareeba (S),Far North Queensland,Cook,98080
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Evorce Pty Ltd,Springwood,4127,,,Evorce SEQ and regional product commercialisation validation project,Springwood,4127,,5/09/2017,Logan (C),Logan,Springwood,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,FAB Dock Pty Ltd,Hope Island,4212,,,Expanding Australian marine dry dock sales into the US market,Hope Island,4212,,5/09/2017,Gold Coast (C),Gold Coast,Broadwater,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Neuroworks Labs Pty Ltd,Wynnum,4178,,,Tremor Pen,Wynnum,4178,,5/09/2017,Brisbane (C),Brisbane and Redlands,Lytton,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,NGE Consulting Pty Ltd,Harristown,4350,,,FridgeBrain VX Vaccine Smart Fridge Pilot Program,Harristown,4350,,5/09/2017,Toowoomba (R),Darling Downs,Toowoomba South,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Myonlineclinic Pty Ltd,East Brisbane,4169,,,MyOnlineClinic - Referral Services (MOC - RS),East Brisbane,4169,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Mindstar Enterprises Pty Ltd,Marcoola,4564,,,Commercialisation of Mindstar’s innovative mobile-health wellbeing & mental health solutions,Marcoola,4564,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,246500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Mining Excellence Alliance Pty Limited,Milton,4064,,,Remote Optimisation Of Mineral Processing Plants Using Advanced Data Analytics,Milton,4064,,5/09/2017,Brisbane (C),Brisbane and Redlands,Cooper,96480
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Nichigo Connections Pty Ltd,Highland Park,4211,,,Tango Smash,Highland Park,4211,,5/09/2017,Gold Coast (C),Gold Coast,Gaven,97636
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Promis Network Pty Ltd,Noosa Heads,4567,,,Automating Bill Payments to Improve Small Business Cashflow,Noosa Heads,4567,,5/09/2017,Noosa (S),Sunshine Coast,Noosa,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Redfish Group Pty Ltd,Spring Hill,4000,,,Internationally commercialising Redfish’s secure remote access building control products,Spring Hill,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Paypont Australia Pty Ltd,Brisbane City,4000,,,Commercialisation of Cashless Micropayments Technology,Brisbane City,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,97664
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Ortelia Pty Ltd,Windsor,4030,,,Ortelia Interactive Spaces International Marketing Campaign,Windsor,4030,,5/09/2017,Brisbane (C),Brisbane and Redlands,Clayfield,98100
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Osler Technology Pty Ltd,Noosa Heads,4567,,,Osler Clinical Performance - Patient Feedback System,Noosa Heads,4567,,5/09/2017,Noosa (S),Sunshine Coast,Noosa,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Kegs Software Pty Ltd,Milton,4064,,,KEGS Field Trials and Commercialisation,Milton,4064,,5/09/2017,Brisbane (C),Brisbane and Redlands,Cooper,91123
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Keyword Intent Pty Ltd,Ormiston,4160,,,Way We Do – Microsoft Product Integration,Ormiston,4160,,5/09/2017,Redland (C),Brisbane and Redlands,Oodgeroo,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Kapiche Pty Ltd,Fortitude Valley,4006,,,Analytics API,Fortitude Valley,4006,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Jacob's Ladder Enterprises Pty Ltd,Heritage Park,4118,,,Develop A National Distribution Channel For Globally-Unique Jacob's Ladders,Heritage Park,4118,,5/09/2017,Logan (C),Logan,Woodridge,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,John Wells,Cairns,4870,,,Narnoo Tourism Product Connect Platform,Cairns City,4870,,5/09/2017,Cairns (R),Far North Queensland,Cairns,99297
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Kinetic Orthotics Pty Ltd,Marcoola,4564,,,Sensokinetic falls risk assessment and intervention improves health outcomes,Marcoola,4564,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Localyokl Pty Ltd,Hope Island,4212,,,Localyokl,Hope Island,4212,,5/09/2017,Gold Coast (C),Gold Coast,Broadwater,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Medetourism Pty Ltd,Brisbane City,4000,,,SkyDoctor. Virtualised medical services for Domestic & International online patient communities.,Brisbane City,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,75000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Live Bidding Pty Ltd,Maroochydore,4558,,,Commercialisation of online marketplace for domestic and international meat trade,Maroochydore,4558,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Kynd Pty Ltd,Burleigh Heads,4220,,,Kynd: Mobile Care Market and 360° Home Care Solution Platform,Burleigh Heads,4220,,5/09/2017,Gold Coast (C),Gold Coast,Burleigh,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Like a Photon Creative Pty Ltd,Woolloongabba,4102,,,KINDERGO,Woolloongabba,4121,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Tour Amigo Pty Ltd,Bracken Ridge,4017,,,"Growth and market awareness of Tour Amigo, through product enhancements, trials and partnership building.",Bracken Ridge,4017,,10/03/2017,Brisbane (C),Brisbane and Redlands,Sandgate,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Travello Pty Ltd,Fortitude Valley,4006,,,Travello Channel Manager,Fortitude Valley,4006,,9/03/2018,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Tiltsta Trading Pty Ltd,Sippy Downs,4556,,,Tiltsta US proof of market,Sippy Downs,4556,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Buderim,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,The trustee for The N & M Gathercole Family Trust,Warana,4575,,,Remote Active Renewable Off-Grid Power System,Warana,4575,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Kawana,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,The Water and Carbon Group Pty Ltd,Brisbane City,4000,,,"Demonstration Sludge Treatment Reed Beds for Low-Energy, Lower-Cost Sludge Management and Biosolid Reuse",Coolum Beach,4573,,9/03/2017,Brisbane (C),Sunshine Coast,McConnel,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Vald Performance Pty Ltd,Newstead,4006,,,GroinBar: Hip Strength Testing System,Albion,4010,,9/03/2017,Brisbane (C),Brisbane and Redlands,Clayfield,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Wildfire Energy Pty Ltd,Camp Hill,4152,,,MIHG Biomass Gasification Technology,Murarrie,4172,,9/03/2017,Brisbane (C),Brisbane and Redlands,Bulimba,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Woods Foods Pty Ltd,Goondiwindi,4390,,,Branding and value adding Queensland grains and pulses to feed the world!,Goondiwindi,4390,,9/03/2017,Goondiwindi (R),Darling Downs,Southern Downs,112500
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Wagners Efc Pty Ltd,Harristown,4350,,,Advanced Manufacturing - EFC Geopolymer Hardener (AMGH),Harristown,4350,,9/03/2017,Toowoomba (R),Darling Downs,Toowoomba South,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Vbrt Industries Pty Limited,Clear Mountain,4500,,,R4 Hardware Hub and Enhanced Encryption,Ormeau,4208,,9/03/2017,Moreton Bay (R),Gold Coast,Pine Rivers,80000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,V-TOL Aerospace Pty Limited,Rocklea,4106,,,V-TOL VEURON,Brisbane City,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,Miller,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Stanke Group Pty Ltd,Mount Isa,4825,,,Carp' Crabs to Tiger Tables,Mount Isa,4825,,9/03/2017,Mount Isa (C),Outback Queensland,Traeger,77568
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Stazer Pty Ltd,Sadliers Crossing,4305,,,STAZER - The Worlds First Real Laser Stopwatch,Sadliers Crossing,4305,,9/03/2017,Ipswich (C),Ipswich,Ipswich,80000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Space Counts Pty Ltd,Aitkenvale,4814,,,Space Counts,Aitkenvale,4814,,9/03/2017,Townsville (C),Townsville,Mundingburra,97585
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Skynet Satellite Communications Pty Ltd,Newmarket,4051,,,REACH Aeronautical Cross Data Integration (XDI),Newmarket,4051,,10/03/2017,Brisbane (C),Brisbane and Redlands,Stafford,99960
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Smarta Industrial Pty Ltd,Southside Gympie,4570,,,Farm Milk Vat Temperature and Volume Monitoring System,Gympie,4570,,10/03/2017,Gympie (R),Wide Bay,Gympie,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Taskout Pty Ltd,Maroochydore,4558,,,"Taskout – the SaaS innovation for retail, globally",Maroochydore,4558,,9/03/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,The Trustee for Capelin Trust,Kelvin Grove,4059,,,SwimAR - Heads-up display goggles for swimming,Kelvin Grove,4059,,9/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,99710
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,The Trustee for Meehan Family Trust,Milton,4064,,,"Develop an open, multi-vendor demonstration facility for the smart lighting management system, Firefly.",Milton,4064,,9/03/2017,Brisbane (C),Brisbane and Redlands,Cooper,220000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,The trustee for C9 Unit Trust,Brisbane City,4000,,,InBoundio,Brisbane City,4000,,9/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,97900
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Tcb Innovations Pty Ltd,Mareeba,4880,,,Smart First Aid - Leading the World in 1st Aid Innovation,Mareeba,4880,,9/03/2017,Cairns (R),Far North Queensland,Cook,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Tenasitech Pty Ltd,St Lucia,4067,,,An additive for scratch resistant engineering plastics,St Lucia,4067,,9/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,158872
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Boomer Advanced Manufacturing Solutions Pty Ltd,Warana,4575,,,Trend Analysis System controlling automated splitting mechanism for mineral processing,Warana,4575,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Kawana,97644
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Campbell Scientific Australia Pty Ltd,Garbutt,4814,,,Altoview Smart Temperature Monitor,Garbutt,4814,,5/09/2017,Townsville (C),Townsville,Townsville,79520
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Biotein Australia Pty Ltd,Roma,4455,,,Biotein algal commerailization project,Roma,4455,,5/09/2017,Maranoa (R),Darling Downs,Warrego,50000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Azzurra Imports Pty Ltd,Eagle Farm,4009,,,Azzurra  Demonstration & Validation - Ultra Low Dual Flushing toilet.,Eagle Farm,4009,,5/09/2017,Brisbane (C),Brisbane and Redlands,Clayfield,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Bidhive Pty Ltd,Ashgrove,4060,,,PropellerBDM Bid Management Platform Pilot Project,Ashgrove,4060,,5/09/2017,Brisbane (C),Brisbane and Redlands,Cooper,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,CartonCloud Pty Ltd,Burleigh Heads,4220,,,Trackables,Burleigh Heads,4220,,5/09/2017,Gold Coast (C),Gold Coast,Burleigh,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Cool Mine Pty Ltd,Labrador,4215,,,The Cool Tube - Rapid Cooling for Mining and Heavy Industry,Labrador,4215,,5/09/2017,Gold Coast (C),Gold Coast,Bonney,99550
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Criskco Au Pty Ltd,Spring Hill,4000,,,AI-powered credit risk assessment product for the Australian market,Spring Hill,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Conveyor Innovations International Pty Ltd,Emerald,4720,,,Conveyor Technology Reduces Costs and Improves Efficiency for Mining Worldwide,Emerald,4720,,5/09/2017,Central Highlands (R),Central Queensland,Gregory,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Claypave Pty Ltd as trustee for the Brikpave Unit Trust,Dinmore,4303,,,Manufacturing and Marketing of Long Format House bricks,Dinmore,4303,,5/09/2017,Ipswich (C),Ipswich,Bundamba,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Conpago Pty Ltd,Sunnybank,4109,,,Conpago Companion,Sunnybank,4109,,5/09/2017,Brisbane (C),Brisbane and Redlands,Toohey,95000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Xenith Consulting Pty Ltd,Brisbane City,4000,,,“Xencrete – Coal Seam Gas Salt Disposal”,Brisbane City,4000,,10/03/2017,Brisbane (C),Brisbane and Redlands,McConnel,29745
Ignite Ideas Fund,AQ Ignite Ideas Fund 2016-17 Round 2,Workingmouse Pty Ltd,St Lucia,4067,,,Codebots,St Lucia,4067,,10/03/2017,Brisbane (C),Brisbane and Redlands,Maiwar,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Allconstruct Pty Ltd,Jacobs Well,4208,,,Product validation and market testing of SafeProp Tool,Jacobs Well,4208,,5/09/2017,Gold Coast (C),Gold Coast,Coomera,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Adivo Pty Ltd,Clifton Beach,4879,,,Adivo - Automatically Inflating Lifejacket Systems,Clifton Beach,4879,,5/09/2017,Cairns (R),Far North Queensland,Barron River,97141
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Airway Medical Innovations Pty Ltd,Fortitude Valley,4006,,,Commercialization of the SHUTTLE™ (Single Hand Used inTubaTion LaryngoscopE),Fortitude Valley,4006,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,250000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Anatara LifeSciences Ltd,Stones Corner,4120,,,Product experience trials for scour prevention in piglets,Stones Corner,4120,,5/09/2017,Brisbane (C),Brisbane and Redlands,Greenslopes,95597
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Audeara Pty Ltd,Spring Hill,4000,,,Commercialisation of the Audeara full fidelity headphone technology.,Spring Hill,4000,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Aurtra Pty Ltd,Karana Downs,4306,,,Accelerated Rollout of TILAS Transformer Maintenance Management System,Seventeen Mile Rocks,4073,,5/09/2017,Brisbane (C),Brisbane and Redlands,Moggill,100000
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Aussie Time Clocks Pty Ltd,Pacific Paradise,4564,,,Aussie Time Sheets NET,Pacific Paradise,4564,,5/09/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,92160
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Aquaculture Supplements Pty Ltd,East Brisbane,4169,,,Functional feeds for Aquaculture immune health applications,East Brisbane,4169,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,94350
Ignite Ideas Fund,AQ Ignite Ideas Fund 2017-18 Round 3,Apunga Pty Ltd,Coorparoo,4151,,,Apunga Horticultural Farm Management Software,Coorparoo,4151,,5/09/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,242946
Ignite+,Pilot,Advisory Board Centre Pty Ltd,Brisbane City,4000,,,Ignite+,Brisbane City,4000,Multiple Locations of Activity/Project,15/11/2022,Brisbane (C),Brisbane,McConnel,275880
Industry Accelerators,Round 1,Slingshot Accelerator Pty Ltd,"Sydney, NSW",,,TheSpace Cairns,Establish a Brisbane-based accelerator partnering with regional Queensland,Fortitude Valley,4006,,8/11/2016,NonQueensland,Brisbane,NonQueensland,1000000
Industry Accelerators,Round 1,Unearthed Solutiions Pty Ltd,"Perth, WA",,,,"Diversification and growth in the mining equipment, technology and services sector",Fortitude Valley,4006,,8/11/2016,NonQueensland,Brisbane,NonQueensland,457000
Industry Accelerators,,Real Serious Games Pty Ltd,Fortitude Valley,4006,,,Immersive Technologies Hub,Fortitude Valley,4006,,29/06/2020,Brisbane (C),Brisbane,McConnel,450000
Industry Accelerators,Round 1,River City Labs Pty Ltd,Fortitude Valley,4006,,Telstra (muru-D),Muru-D startup accelerator program,Fortitude Valley,4006,,8/11/2016,Brisbane (C),Brisbane,McConnel,750000
Industry Accelerators,Round 1,Blue Chilli Technology Pty Ltd,"Sydney, NSW",,,,"Using the BlueChilli accelerator model, ‘CityConnect’ will find, fund and build smart cities startups, to address urban challenges and improve the way we live, work, play, move and trade in cities.",Fortitude Valley,4006,,8/11/2016,NonQueensland,Brisbane,NonQueensland,245020
Industry Accelerators,,ARC Hardware Incubator Pty Ltd,Fortitude Valley,4006,,,Arc Hardware Incubator - Hardware Innovation for Global Startups,Fortitude Valley,4006,,24/04/2019,Brisbane (C),Brisbane and Redlands,McConnel,99800
Industry Accelerators,Round 1,Innovation Centre Sunshine Coast,Sippy Downs,4556,,,Developing better technology and processes for food production through the ‘Grow Coastal‘ accelerator program.,Sippy Downs,4556,,8/11/2016,Sunshine Coast (R),Sunshine Coast,Buderim,391000
Industry Accelerators,Round 1,Creative Industries Precinct Pty Ltd T/A QUT Creative Enterprise Australia,Kelvin Grove,4059,,,Establish the ‘Collider’ accelerator,Kelvin Grove,4059,,8/11/2016,Brisbane (C),Brisbane,McConnel,615000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,," Vaxxas Pty Ltd 
 Technovalia Pty Ltd",Enhancing COVID-19 vaccination and pandemic preparedness via Nanopatch skin delivery - David Muller,St Lucia,4067,"Vaxxas, Woollongabba, Queensland",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, Australian Coal Research Limited,Developing on-line oxidation measurement for remote operation of coal mines during pandemic - Xumeng Chen,Indooroopilly,4068,"Oaky Creek Mine, Tieri, Queensland and Newlands Mine, Glenden, Queensland",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,150000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,The University of Queensland,St Lucia,4067,, AI Fluidics Pty Ltd,Point-of-care diagnostic device incorporating microfluidic technology and electrochemical biosensing platform for COVID-19 detection-Yusuf Kaneti,St Lucia,4067,"1917 Logan Rd, Upper Mount Gravatt, QLD 4122",16/07/2020,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology,Kelvin Grove,4059,," The Prince Charles Hospital Foundation 
 Metro North Hospital and Health Service - The Prince Charles Hospital",Statistical modelling to support clinical decision making for critically ill COVID-19 patients - Nicole White,Kelvin Grove,4059,"Chermside, QLD",16/07/2020,Brisbane (C),Brisbane and Redlands,McConnel,53062
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 Metro North Hospital and Health Service - Royal Brisbane and Women's Hospital 
 Allysta Pharmaceuticals Inc 
 Arrevus Inc 
 Translational Research Institute (TRI)","Preventing the respiratory failure causing COVID-19 mortality, potent new drugs targeting hyperinflammation – Lisa Philp",Woolloongabba,4102,"Princess Alexandra Hospital, Woolloongabba, Queensland; Royal Brisbane and Women's Hospital, Herston, Queensland",16/07/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,150000
Industry Research Fellowships,AQ Industry Research Fellowships 2020 R3-COVID-19,Queensland University of Technology - Translational Research Institute,Woolloongabba,4102,," Carpe Vitae Pharmaceuticals Pty Ltd 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Stopping COVID-19 by targeting the viral replication - Mark Adams,Woolloongabba,4102,Princess Alexandra Hospital,16/07/2020,Brisbane (C),Brisbane and Redlands,South Brisbane,150000
